Loading Datastore...
 * Serving Flask app 'server' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://127.0.0.1:6080/ (Press CTRL+C to quit)
127.0.0.1 - - [25/Oct/2021 14:18:27] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //auth/register/v2 HTTP/1.1" 400 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //auth/register/v2 HTTP/1.1" 400 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //auth/register/v2 HTTP/1.1" 400 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //auth/register/v2 HTTP/1.1" 400 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //auth/register/v2 HTTP/1.1" 400 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //auth/register/v2 HTTP/1.1" 400 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //auth/register/v2 HTTP/1.1" 400 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //auth/register/v2 HTTP/1.1" 400 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "GET //user/profile/v1?u_id=1&token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJzZXNzaW9uX2lkIjoxN30.-EkX4Vs9jWvZzqXgteG-7WIWfRkfbJrmqdqdXpS3nJg HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "GET //user/profile/v1?u_id=2&token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoyLCJzZXNzaW9uX2lkIjoxOH0.fsq_dPQc0yK3q0LAYUuJ7msOdk5BUk5OAQLLksX06f8 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //channel/join/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //channel/addowner/v1 HTTP/1.1" 400 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //channel/join/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //channel/addowner/v1 HTTP/1.1" 400 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //channel/addowner/v1 HTTP/1.1" 400 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //channel/join/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //channel/addowner/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //channel/addowner/v1 HTTP/1.1" 400 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //channel/join/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //channel/join/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //channel/addowner/v1 HTTP/1.1" 403 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //channel/join/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //channel/join/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "GET //channel/details/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoyLCJzZXNzaW9uX2lkIjozMX0.3hmvcRGkRiFI20cTJYAAZdqJtiJBHonPIHYpG1KlrCk&channel_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "GET //channel/details/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJzZXNzaW9uX2lkIjozM30.cqANmhde6kZCkW-pGgAg_4lFPsWcoiqY-3E6nz0whMg&channel_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "GET //channel/details/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJzZXNzaW9uX2lkIjozNH0.IvVCB4oaEktV14SN1F0nd7f5CY6hrKagxkicQI7EJLY&channel_id=2 HTTP/1.1" 400 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "GET //channel/details/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJzZXNzaW9uX2lkIjozNX0.OBu5SO079lXwWHfsnxWeo9Cn8xvhYpFPw6esTnbuwZQ&channel_id=1 HTTP/1.1" 403 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //channel/join/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "GET //channel/details/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJzZXNzaW9uX2lkIjozN30.pwmaMHZpM90SnKJAaVprtGUYWH8Q2BuezsPiefEbiFw&channel_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "GET //channel/details/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjozLCJzZXNzaW9uX2lkIjozOX0.NL3vFRP8dfA6D5lD6ym4vE1hN7_U8SDYFPziG4ZA1pw&channel_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //channel/invite/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:27] "POST //channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //channel/invite/v2 HTTP/1.1" 400 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //channel/invite/v2 HTTP/1.1" 400 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //channel/join/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //channel/invite/v2 HTTP/1.1" 400 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //channel/leave/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //channel/invite/v2 HTTP/1.1" 403 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //channel/join/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //channel/join/v2 HTTP/1.1" 400 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //channel/join/v2 HTTP/1.1" 403 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //channel/join/v2 HTTP/1.1" 400 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //channel/join/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //channel/join/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //channel/join/v2 HTTP/1.1" 400 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //channel/join/v2 HTTP/1.1" 400 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //channel/join/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //channel/leave/v1 HTTP/1.1" 400 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //channel/join/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //channel/leave/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //channel/leave/v1 HTTP/1.1" 403 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //channel/leave/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //channel/join/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //channel/leave/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //channel/join/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //channel/addowner/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //channel/leave/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //channel/leave/v1 HTTP/1.1" 403 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "GET //channels/list/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJzZXNzaW9uX2lkIjo2OX0.yS8pbCNH_yhkv912rpmV_elQR_xcFdFOwbXvyY5K1ws HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "GET //channels/list/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJzZXNzaW9uX2lkIjo3MH0.NJBXSV78esWupzdA-UyEn6oacuFhZ5lkrDMs_eXGIoc HTTP/1.1" 403 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "GET //channels/list/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJzZXNzaW9uX2lkIjo3Mn0.NSZvyMPRrxscgfbHD4DFQVU135OQnp6unXVqfv9IcpI HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //message/send/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "GET //channel/messages/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJzZXNzaW9uX2lkIjo3M30.4OqTr5G4CQ7FhrP5NufqfY6z-Q_g7_Iz8N_1g6QnOhw&channel_id=1&start=0 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //message/send/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 14:18:28] "POST //message/send/v1 HTTP/1.1" 200 -
